rank,user_id,total_campaigns,total_entries,avg_entries_per_campaign,most_active_campaign_title,most_active_campaign_entries
1,vnLp2G3m21PJL6kxcuAqmWSOtm73,228,5343,23.43,Itachi Evil Campaign 2,1069
2,test-validation-comparison,285,1887,6.62,Validation Test pydantic_run_5,12
3,test-integration-user,259,1844,7.12,Test,8
4,integration_test_user_standalone,8,714,89.25,Truncation Test Campaign - d4a76f22-67e4-4463-bf05-d183cc4f0938,102
5,test-sariel-user,63,644,10.22,Sariel Test Campaign,22
6,test-validation-simple_run_0,36,387,10.75,Validation Test simple_run_0,12
7,test-validation-simple_run_1,32,338,10.56,Validation Test simple_run_1,12
8,test-cassian-simple_0,69,252,3.65,Cassian Test simple_0,4
9,test-cassian-simple_1,62,229,3.69,Cassian Test simple_1,4
10,test-sariel-0,34,257,7.56,Sariel Test Campaign 1,8
11,test-validation-simple_run_2,24,254,10.58,Validation Test simple_run_2,12
12,test-cassian-simple_2,58,217,3.74,Cassian Test simple_2,4
13,test-cassian-pydantic_0,52,191,3.67,Cassian Test pydantic_0,4
14,test-cassian-pydantic_1,47,171,3.64,Cassian Test pydantic_1,4
15,test-interaction-state,41,162,3.95,Interaction State Test,4
16,test-cassian-pydantic_2,43,155,3.6,Cassian Test pydantic_2,4
17,test-validation-simple_run_3,17,181,10.65,Validation Test simple_run_3,12
18,test-validation-simple_run_4,13,155,11.92,Validation Test simple_run_4,12
19,test-exact-production,10,156,15.6,Sariel Exact Production Test,20
20,test-validation-simple_run_5,13,142,10.92,Validation Test simple_run_5,12
21,test-cassian-simple_3,29,114,3.93,Cassian Test simple_3,4
22,test-validation-simple_run_6,11,132,12.0,Validation Test simple_run_6,12
23,test-state-generation,46,92,2.0,State Generation Test,2
24,test-field-validation,17,118,6.94,Field Validation Test,15
25,test-cassian-simple_4,27,107,3.96,Cassian Test simple_4,4
26,test-debug-sariel,40,84,2.1,Debug Sariel Test,4
27,test-initial-tracking,41,82,2.0,Initial Entity Tracking Test,2
28,test-validation-simple_run_7,10,111,11.1,Validation Test simple_run_7,12
29,test-validation-simple_run_8,9,100,11.11,Validation Test simple_run_8,12
30,test-validation-simple_run_9,7,84,12.0,Validation Test simple_run_9,12
31,test-cassian-pydantic_3,18,71,3.94,Cassian Test pydantic_3,4
32,test-validation-pydantic_run_0,8,81,10.12,Validation Test pydantic_run_0,12
33,test-cassian-pydantic_4,17,66,3.88,Cassian Test pydantic_4,4
34,test-validation-pydantic_run_2,7,74,10.57,Validation Test pydantic_run_2,12
35,test-validation-pydantic_run_3,8,73,9.12,Validation Test pydantic_run_3,12
36,analytics_test_user_3,5,70,14.0,Wild West Showdown,22
37,test-validation-pydantic_run_1,6,67,11.17,Validation Test pydantic_run_1,12
38,test-validation-pydantic_run_6,6,65,10.83,Validation Test pydantic_run_6,12
39,test-validation-pydantic_run_5,6,63,10.5,Validation Test pydantic_run_5,12
40,test-validation-pydantic_run_4,6,62,10.33,Validation Test pydantic_run_4,12
41,test-validation-pydantic_run_8,5,60,12.0,Validation Test pydantic_run_8,12
42,test-suite-user-123,15,46,3.07,Full Integration Test,5
43,test-validation-pydantic_run_9,5,53,10.6,Validation Test pydantic_run_9,12
44,test-sariel-prompts,4,52,13.0,Sariel Prompt Logging Test,22
45,test-validation-pydantic_run_7,5,51,10.2,Validation Test pydantic_run_7,12
46,sariel-validation-test-user,3,49,16.33,Sariel Validation Test Campaign,22
47,analytics_test_user_2,1,30,30.0,Magical Forest Quest,30
48,test-sariel-full-single,5,18,3.6,Sariel Full Validation Test,4
49,analytics_test_user_1,2,20,10.0,The Dragon's Hoard,12
50,2dDglrTbz9Zb3zV0bKc8trukN9b2,2,18,9.0,The Good Place,12
51,zqex6mt8wkZ0FXtN4fbAmwe48Ji2,1,19,19.0,My Epic Adventure,19
52,test-sariel-full-0,3,11,3.67,Sariel Full Test 0,4
53,weVbMsfsIDXUBySyj9cLJunS7W12,1,8,8.0,24,8
54,test-complete-flow,1,5,5.0,Complete Flow Test,5
55,test-user,2,4,2.0,My Test Campaign,2
56,test-sariel-verbose-0,1,4,4.0,Sariel Verbose Test 0,4
57,test-sariel-verbose-1,1,4,4.0,Sariel Verbose Test 1,4
58,test-sariel-verbose-2,1,4,4.0,Sariel Verbose Test 2,4
59,test-sariel-verbose-3,1,4,4.0,Sariel Verbose Test 3,4
60,test-sariel-verbose-4,1,4,4.0,Sariel Verbose Test 4,4
61,test-sariel-verbose-5,1,4,4.0,Sariel Verbose Test 5,4
62,test-sariel-verbose-6,1,4,4.0,Sariel Verbose Test 6,4
63,test-sariel-verbose-7,1,4,4.0,Sariel Verbose Test 7,4
64,test-sariel-verbose-8,1,4,4.0,Sariel Verbose Test 8,4
65,test-sariel-verbose-9,1,4,4.0,Sariel Verbose Test 9,4
66,0wf6sCREyLcgynidU5LjyZEfm7D2,1,3,3.0,My Epic Adventure,3
67,test-suite-user,2,2,1.0,Integration Test Campaign,1
68,s6PqXg7JynhnMxOcZQDv8nUSk5E3,1,1,1.0,Cindil is a vampire ,1
