task_id,approach,run_id,generation_time,lines_of_code,compilation_success,test_pass_rate,complexity,quality_score,error_log
M003,traditional-claude,1,55.56570867540678,735,True,0.7533045647306159,medium,4.3090285898319935,
S005,traditional-claude,1,58.954032062027366,233,True,0.9513495021466565,small,4.628921340011852,
S001,traditional-claude,1,57.707811868861704,165,True,0.7267557500197556,small,4.0539872419170155,
M001,traditional-claude,1,55.65440701898073,789,True,0.8529928439458427,medium,4.996344378441343,
L003,traditional-claude,1,36.67455042986376,2784,True,0.821668820824742,large,3.9111858881888404,
L004,traditional-claude,1,49.92974047034839,3485,False,0.0,large,1.0,
S003,traditional-claude,1,39.187389375755025,194,False,0.0,small,1.0,
M004,traditional-claude,1,50.02964898669512,640,True,0.7485748725838869,medium,4.318727473991499,
S004,traditional-claude,1,36.33434092529931,181,True,0.7263950103661465,small,3.883610228564043,
L002,traditional-claude,1,55.87632411920117,3218,False,0.0,large,1.0,
S002,traditional-claude,1,36.44119961097044,123,True,0.9393099293410788,small,4.085896238862828,
L005,traditional-claude,1,31.0497448057325,4014,True,0.8017019642993294,large,3.5925879290159357,
M002,traditional-claude,1,57.5319628285679,589,True,0.8852443646430668,medium,4.679515491008802,
M005,traditional-claude,1,37.067653338826524,916,False,0.0,medium,1.0,
L001,traditional-claude,1,42.594135073356284,2507,True,0.8892295185007844,large,3.93455964978549,
S004,cerebras-instructions,1,30.23003043560566,198,True,0.9298804424248213,small,4.404680667611845,
L004,cerebras-instructions,1,33.88836357385302,3501,True,0.701241190648012,large,4.20257949962615,
M003,cerebras-instructions,1,31.72876160034054,756,True,0.7354602001670856,medium,4.1834384618738545,
L005,cerebras-instructions,1,44.490934591729264,4015,False,0.0,large,1.0,
M004,cerebras-instructions,1,41.169269071279196,652,True,0.9890163616238878,medium,3.9873564530403547,
S005,cerebras-instructions,1,30.31642546087749,267,True,0.8931303800078599,small,4.001865648217008,
L002,cerebras-instructions,1,27.32022434510806,3181,True,0.7147385393697337,large,4.795238747172663,
M005,cerebras-instructions,1,26.838866557506663,907,True,0.8699392311893943,medium,3.6403856666572425,
M001,cerebras-instructions,1,29.596426933690672,805,True,0.8724489319429731,medium,3.8683366099276353,
L003,cerebras-instructions,1,25.269060293054245,2789,True,0.8450322427168976,large,4.966238402738632,
S003,cerebras-instructions,1,42.00764921498305,180,True,0.9071429653089931,small,4.186670282245178,
S001,cerebras-instructions,1,37.23253025669317,139,True,0.8523189968512979,small,4.804163867491236,
M002,cerebras-instructions,1,34.86057029828952,597,False,0.0,medium,1.0,
S002,cerebras-instructions,1,26.417046163325328,101,True,0.7054920973027413,small,3.7237377334066855,
L001,cerebras-instructions,1,28.794743876781034,2488,True,0.9084934691188526,large,4.822116515365808,
S004,cerebras-mcp,1,7.284888069910319,195,False,0.0,small,1.0,
M001,cerebras-mcp,1,7.80865138349961,794,True,0.8436466476557591,medium,3.6669097128750026,
S001,cerebras-mcp,1,7.4686324654162295,139,True,0.7835766699273179,small,4.646983698870436,
M003,cerebras-mcp,1,3.1272180816458444,752,True,0.9469328793704397,medium,3.9617500099340304,
L001,cerebras-mcp,1,5.434791812317871,2487,True,0.7512018507182457,large,4.276659152680884,
M005,cerebras-mcp,1,6.223712411678314,887,False,0.0,medium,1.0,
S003,cerebras-mcp,1,6.225403448236056,188,True,0.9390845741019757,small,3.5778089096113996,
S005,cerebras-mcp,1,3.6338805516578425,257,True,0.7509507580214518,small,4.649415509279253,
M004,cerebras-mcp,1,4.186020320406115,657,True,0.8085568202758636,medium,4.12363786948762,
L002,cerebras-mcp,1,3.4871725438023757,3206,True,0.7066685020043699,large,3.7195639861357237,
S002,cerebras-mcp,1,3.2555803986815626,106,True,0.8484851041272162,small,4.278138133407109,
L005,cerebras-mcp,1,2.9283134468420684,3984,True,0.8860747720464834,large,4.328425223217657,
L003,cerebras-mcp,1,4.583382422469168,2787,True,0.9335130893024971,large,4.57419691738532,
M002,cerebras-mcp,1,4.269282952320532,584,True,0.7218478290333091,medium,4.586569920510544,
L004,cerebras-mcp,1,3.6456368929303045,3519,False,0.0,large,1.0,
